file	sumTIC
BLANK_161005_2.CDF	156685736
BLANK_161116_2.CDF	112744826
BLANK_161120_1.CDF	136077470
BLANK_161130_1.CDF	108394995
BLANK_161204_1.CDF	176136849
BLANK_170109_8.CDF	72456086
BLANK_170111_1.CDF	167973061
BLANK_170112_1.CDF	110922546
BLANK_170214_2.CDF	193139314
BLANK_170216_1.CDF	187576314
BLANK_170217_1.CDF	195108962
BLANK_170228_1.CDF	230628041
BLANK_170301_1.CDF	143214749
BLANK_170302_1.CDF	123264142
BLANK_170405_3.CDF	109254904
BLANK_170405_5.CDF	76616393
BLANK_170406_1.CDF	197845844
BLANK_170410_2.CDF	132786397
BLANK_170411_1.CDF	203553426
BLANK_170412_1.CDF	128854512
BLANK_170420_2.CDF	110130435
BLANKTRAP132_161003_7.CDF	843753055
BLANKTRAP18_160719_9.CDF	285109681
BLANKTRAP19_160725_4.CDF	265068027
