"FileName"	"CAS"	"Name"	"RT"	"RI"	"Width"	"Purity"	"Model"	"Min. Abund."	"Amount"	"Scan"	"Peak Tailing"	"S/N (total)"	"Base Peak"	"Max. Amount"	"Area"	"Intgr.Signal"	"Max. Area"	"Extra Width"	"Models"	"Frac. Good"	"Expec. RT"	"RI-RI(lib)"	"Net"	"Weighted"	"Simple"	"Reverse"	"Corrections"	"(m/z)"	"S/N (m/z)"	"Area % (m/z)"	"Conc."	"RT-RT(lib)"
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108883	">Toluene"	3.7908	772.2	8	"57%"	"TIC"	"1.6%"	"0.0288%"	125	1	45	14214		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108883	">Toluene"	3.7971	772.5	7.7	"61%"	"92 m/z"	"1.6%"	"0.0391%"	126	1.1	45	14164		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111659	">Octane"	4.3081	800.1	6.6	"74%"	"85 m/z"	"2.2%"	"0.0430%"	215	1.3	56	10266		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	66251	">Hexanal"	4.4172	806	6.3	"69%"	"56 m/z"	"1.4%"	"0.0391%"	234	2.2	55	15698		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	541059	">Cyclotrisiloxane, hexamethyl-"	4.7602	824.5	5.9	"62%"	"207 m/z"	"1.7%"	"0.0253%"	294	1	42	13217		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	"EPA-273020"	">5H-Tetrazol-5-amine"	5.0625	840.9	6	"36%"	"57 m/z"	"2.3%"	"0.0109%"	347	1.4	31	10030		0					0				88		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111842	">Nonane"	5.0659	841.1	8.7	"53%"	"TIC"	"2.2%"	"0.0175%"	348	2.1	38	10227		0					0				70		70						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	498602	">3-Furaldehyde"	5.1071	843.3	6.5	"14%"	"95 m/z"	"12%"	"0.00400%"	354	2.3	16	1919		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	96220	">3-Pentanone"	5.3225	854.9	18.1	"24%"	"57 m/z (56)"	"0.015%"	"4.90%"	393	0.9	365	1488280		0					0				90		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110543	">n-Hexane"	5.3471	856.2	">19"	"36%"	"TIC"	"0.016%"	"2.92%"	397	0.9	460	1402971		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110543	">n-Hexane"	5.3511	856.5	14.7	"29%"	"56 m/z"	"0.023%"	"1.72%"	398	1.1	410	1003538		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	674760	">2-Pentene, 4-methyl-, (E)-"	5.3654	857.2	14.3	"9.4%"	"55 m/z (56)"	"0.063%"	"1.67%"	400	1.3	228	366221		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	98566	">Benzene, 1-chloro-4-(trifluoromethyl)-"	5.382	858.1	6.5	"0.20%"	"180 m/z (56)"	"10%"	"0.0135%"	403	1.1	31	2284		0					0				73		73						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	96377	">Cyclopentane, methyl-"	5.4054	859.4	">21"	"17%"	"69 m/z"	"0.053%"	"1.51%"	407	1.2	262	431029		0					0				95		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	625230	">2-Hexanol, 2-methyl-"	5.4208	860.2	6.2	"0.19%"	"59 m/z (69)"	"4.0%"	"0.00989%"	410	4.4	26	5661		0					0				59		74						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	100414	">Ethylbenzene"	5.4723	863	5.9	"1.2%"	"91 m/z (59)"	"1.7%"	"0.0344%"	418	1.6	48	12834		0					0				69		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108383	">Benzene, 1,3-dimethyl-"	5.6232	871.2	6.1	"18%"	"91 m/z"	"1.8%"	"0.0262%"	445	1.3	42	12271		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	78988	">Methyl glyoxal"	5.6472	872.5	">13"	"3.1%"	"72 m/z"	"8.7%"	"0.00354%"	449	5.3	14	2648		0					0				99		99						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	100425	">Styrene"	6.0335	893.3	5.8	"81%"	"104 m/z"	"1.0%"	"0.0702%"	517	1.4	70	22430		0					0				96		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108383	">Benzene, 1,3-dimethyl-"	6.0718	895.4	5.7	"37%"	"106 m/z (104)"	"5.3%"	"0.0122%"	524	1.4	30	4310		0					0				67		74						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111842	">Nonane"	6.1598	900.2	5.6	"71%"	"TIC"	"1.8%"	"0.0254%"	539	1.3	48	12478		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111717	">Heptanal"	6.297	907.8	5.3	"53%"	"70 m/z"	"4.0%"	"0.0192%"	563	1.6	39	5661		0					0				86		86						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	4439241	">Ethylene glycol monoisobutyl ether"	6.5719	923	8.2	"50%"	"TIC"	"3.4%"	"0.00938%"	611	2.9	26	6718		0					0				76		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	80568	">.alpha.-Pinene"	6.8302	937.3	5.3	"89%"	"93 m/z"	"0.41%"	"0.179%"	656	1.1	120	56293		0					0				96		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	622968	">Benzene, 1-ethyl-4-methyl-"	7.3675	967	">8"	"34%"	"105 m/z"	"5.7%"	"0.00968%"	750	2.2	24	4004		0					0				75		75						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	100527	">Benzaldehyde"	7.4321	970.6	5.3	"78%"	"106 m/z"	"1.6%"	"0.0465%"	762	1.4	63	13618		0					0				97		97						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	2867052	">Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-"	7.7664	989.1	10.5	"43%"	"TIC"	"4.3%"	"0.0183%"	820	1.2	34	5353		0					0				85		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108952	">Phenol"	7.8481	993.7	6.7	"62%"	"94 m/z"	"1.6%"	"0.0359%"	835	1.5	46	14210		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110930	">5-Hepten-2-one, 6-methyl-"	7.9373	998.6	4.8	"85%"	"108 m/z"	"0.83%"	"0.139%"	850	1.7	111	27586		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	95636	">Benzene, 1,2,4-trimethyl-"	7.9607	999.9	6	"8.3%"	"105 m/z"	"5.5%"	"0.00695%"	854	1.1	22	4169		0					0				82		82						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	556672	">Cyclotetrasiloxane, octamethyl-"	7.9967	1001.9	4.4	"51%"	"281 m/z"	"1.7%"	"0.0215%"	860	1.3	44	13372		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	142621	">Hexanoic acid"	8.0556	1005.2	6.5	"37%"	"60 m/z"	"3.5%"	"0.0167%"	871	1	31	6425		0					0				88		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	124130	">Octanal"	8.1653	1011.2	4.9	"75%"	"57 m/z"	"2.3%"	"0.0541%"	890	1.5	68	9756		0					0				92		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111900	">Ethanol, 2-(2-ethoxyethoxy)-"	8.4568	1027.4	6.4	"66%"	"59 m/z"	"2.0%"	"0.0478%"	941	2.5	53	11375		0					0				68		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111900	">Ethanol, 2-(2-ethoxyethoxy)-"	8.4602	1027.6	11.6	"36%"	"TIC"	"3.3%"	"0.0312%"	942	2.9	40	6913		0					0				59		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110930	">5-Hepten-2-one, 6-methyl-"	8.4854	1029	7.2	"37%"	"108 m/z"	"8.1%"	"0.0247%"	946	1.9	38	2819		0					0				79		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	5989275	">D-Limonene"	8.5905	1034.8	4.7	"39%"	"93 m/z"	"6.9%"	"0.0103%"	964	1.1	30	3341		0					0				79		79						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	"EPA-411448"	">2-Ethyl-1-hexanol"	8.6809	1039.8	8.4	"76%"	"57 m/z"	"0.80%"	"0.0905%"	980	1.7	68	28681		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	98862	">Acetophenone"	9.3673	1077.8	5.8	"78%"	"105 m/z"	"0.77%"	"0.101%"	1100	1.8	82	29835		0					0				97		97						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	"EPA-389693"	">Succinic acid, 3-chlorophenyl 4-methoxybenzyl ester"	9.6828	1095.3	6	"12%"	"121 m/z"	"8.9%"	"0.00325%"	1155	1.2	15	2569		0					0				86		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	1838591	">Formic acid, 2-propenyl ester"	9.7662	1099.9	5.8	"18%"	"TIC"	"6.6%"	"0.00237%"	1170	1.4	19	3456		0					0				84		97						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	124196	">Nonanal"	9.9245	1109.6	5	"96%"	"57 m/z"	"0.13%"	"0.762%"	1198	1.3	250	170913		0					0				96		97						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	56114693	">2,5-Dihydroxybenzaldehyde, 2TMS derivative"	10.0411	1116.8	5.3	"11%"	"267 m/z"	"12%"	"0.00308%"	1218	1.5	16	1900		0					0				66		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	124196	">Nonanal"	10.1543	1123.7	6.7	"70%"	"57 m/z"	"1.5%"	"0.0721%"	1238	1.7	71	15194		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	541026	">Cyclopentasiloxane, decamethyl-"	10.6566	1154.5	5.1	"70%"	"73 m/z"	"1.3%"	"0.0456%"	1326	1.7	57	17052		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	541026	">Cyclopentasiloxane, decamethyl-"	10.7732	1161.7	9.5	"41%"	"TIC"	"5.5%"	"0.00704%"	1346	0.9	27	4185		0					0				86		86						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	16746864	">2,3-Dimethyl-1-hexene"	10.8698	1167.6	6.1	"17%"	"TIC"	"18%"	"0.00211%"	1363	1.2	16	1283		0					0				68		68						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112312	">Decanal"	10.9967	1175.4	5.7	"31%"	"TIC"	"12%"	"0.00458%"	1385	0.8	24	1829		0					0				69		69						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112345	">Ethanol, 2-(2-butoxyethoxy)-"	11.4671	1204.6	7	"33%"	"TIC"	"4.8%"	"0.00653%"	1468	1.3	26	4722		0					0				71		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112312	">Decanal"	11.5659	1211.1	5.3	"94%"	"57 m/z"	"0.41%"	"0.369%"	1485	1.5	167	55640		0					0				96		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112312	">Decanal"	11.658	1217.1	5.5	"73%"	"57 m/z"	"3.3%"	"0.0344%"	1501	1.7	57	6921		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	30689782	">(R)-(-)-(Z)-14-Methyl-8-hexadecen-1-ol"	12.669	1283.8	6	"43%"	"TIC"	"8.1%"	"0.0142%"	1678	0.8	33	2836		0					0				75		75						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	4884246	">[1,1'-Bicyclopentyl]-2-one"	12.9222	1300.5	">8"	"32%"	"84 m/z"	"0.16%"	"0.464%"	1722	0.7	152	140903		0					0				89		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	107926	">Butanoic acid"	12.9679	1303.7	3.8	"0.64%"	"60 m/z"	"5.2%"	"0.00596%"	1730	1.9	25	4397		0					0				66		81						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	105602	">Caprolactam"	13.0331	1308.3	">14"	"92%"	"55 m/z"	"0.047%"	"3.52%"	1742	0.3	363	488559		0					0				95		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112447	">Undecanal"	13.0948	1312.6	">6"	"40%"	"TIC"	"3.8%"	"0.0273%"	1752	2.7	54	6025		0					0				85		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	540976	">Cyclohexasiloxane, dodecamethyl-"	13.2885	1326.2	5.5	"49%"	"73 m/z"	"1.4%"	"0.0359%"	1787	1.3	54	16056		0					0				91		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	117221779	">1H-1,3a-Ethanopentalen-5(4H)-one, tetrahydro-"	13.7886	1361.3	6.8	"27%"	"TIC"	"12%"	"0.00709%"	1874	0.6	26	1897		0					0				66		72						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	34180115	">Propane, 1-(chloromethoxy)-2-methyl-"	13.9892	1375.4	5	"14%"	"87 m/z"	"10%"	"0.00466%"	1909	1.7	18	2271		0					0				87		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	5340363	">3-Octanol, 3-methyl-"	14.0218	1377.7	6.4	"18%"	"TIC"	"10%"	"0.00335%"	1915	0.6	23	2120		0					0				56		65						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	92524	">Biphenyl"	14.239	1393	7.4	"33%"	"TIC"	"7.1%"	"0.00841%"	1953	1	31	3216		0					0				71		82						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	20633038	">3,4-Hexanedione, 2,2,5-trimethyl-"	14.339	1400	6.2	"18%"	"TIC"	"8.1%"	"0.00273%"	1970	1.6	21	2833		0					0				68		79						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112549	">Dodecanal"	14.5419	1415.1	6	"36%"	"TIC"	"4.8%"	"0.0249%"	2006	1.2	45	4797		0					0				75		79						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	101848	">Diphenyl ether"	14.5499	1415.7	6	"30%"	"170 m/z"	"3.8%"	"0.0225%"	2007	1.1	40	5950		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	3879263	">5,9-Undecadien-2-one, 6,10-dimethyl-, (Z)-"	15.1786	1462.4	4.9	"69%"	"69 m/z"	"1.2%"	"0.0640%"	2117	1.1	74	19082		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112538	">1-Dodecanol"	15.4461	1482.3	5.7	"35%"	"TIC"	"6.9%"	"0.0116%"	2164	1.3	38	3314		0					0				83		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	107506	">Cycloheptasiloxane, tetradecamethyl-"	15.6581	1498.1	4.5	"77%"	"73 m/z"	"0.43%"	"0.124%"	2201	1	111	53576		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	629629	">Pentadecane"	15.681	1499.8	4.8	"55%"	"57 m/z (73)"	"1.0%"	"0.0526%"	2205	0.9	68	21210		0					0				90		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	69064364	">Z-2-Dodecenol"	15.8947	1516.6	5.4	"29%"	"TIC"	"11%"	"0.00531%"	2242	0.7	29	2089		0					0				84		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	96764	">2,4-Di-tert-butylphenol"	15.9462	1520.6	5.1	"85%"	"191 m/z"	"0.22%"	"0.223%"	2251	1.1	138	101649		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	544763	">Hexadecane"	16.9498	1599.6	4.6	"61%"	"57 m/z"	"1.4%"	"0.0387%"	2427	1.1	61	16400		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	6846500	">2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"	17.0915	1611.4	5.1	"78%"	"71 m/z"	"0.28%"	"0.108%"	2452	1.1	97	79908		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	629801	">Hexadecanal"	17.1784	1618.6	6	"34%"	"TIC"	"11%"	"0.00704%"	2467	0.9	33	2082		0					0				83		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	556683	">Cyclooctasiloxane, hexadecamethyl-"	17.7762	1668.3	4.7	"41%"	"73 m/z"	"2.6%"	"0.0162%"	2572	1	40	8854		0					0				86		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112538	">1-Dodecanol"	17.9757	1684.9	7.1	"31%"	"TIC"	"8.6%"	"0.00735%"	2606	1.2	32	2670		0					0				82		82						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	629787	">Heptadecane"	18.1528	1699.7	5	"79%"	"57 m/z"	"0.54%"	"0.109%"	2638	1.1	100	42608		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	18344371	">Heptadecane, 2,6,10,14-tetramethyl-"	18.222	1705.8	5.4	"36%"	"TIC"	"4.0%"	"0.00830%"	2650	1.9	37	5725		0					0				79		79						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	696719	">Cyclooctyl alcohol"	18.3923	1720.9	6.4	"16%"	"TIC"	"13%"	"0.00351%"	2679	2.6	22	1659		0					0				66		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	17301325	">Undecane, 4,7-dimethyl-"	19.2788	1799.6	4.9	"31%"	"57 m/z"	"3.0%"	"0.0135%"	2835	1.1	38	7655		0					0				88		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	17312753	">Nonane, 5-methyl-5-propyl-"	19.3856	1811.7	8.6	"20%"	"TIC"	"5.8%"	"0.00440%"	2853	1.1	28	3919		0					0				81		81						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	118605	">2-Ethylhexyl salicylate"	19.4937	1824	4.6	"21%"	"120 m/z"	"6.5%"	"0.0124%"	2872	1	33	3507		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	6709393	">1,5-Heptadiene, 2,6-dimethyl-"	19.7531	1853.5	4.8	"12%"	"69 m/z"	"4.4%"	"0.00564%"	2917	1.1	26	5213		0					0				75		75						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	6709393	">1,5-Heptadiene, 2,6-dimethyl-"	19.756	1853.8	6.4	"14%"	"TIC"	"4.9%"	"0.00470%"	2918	2.2	28	4636		0					0				66		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	544763	">Hexadecane"	19.9452	1875.3	15.1	"32%"	"TIC"	"2.2%"	"0.0320%"	2951	1.3	48	10254		0					0				87		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	112538	">1-Dodecanol"	20.076	1890.2	5.7	"24%"	"TIC"	"5.5%"	"0.00776%"	2974	0.6	42	4132		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	118569	">Homosalate"	20.2367	1910.6	4.5	"28%"	"138 m/z"	"3.9%"	"0.0301%"	3002	1.1	54	5788		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	1731880	">Tridecanoic acid, methyl ester"	20.3927	1932.6	4.1	"9.4%"	"74 m/z"	"4.7%"	"0.00908%"	3029	1.4	29	4893		0					0				70		74						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	"EPA-309769"	">Phthalic acid, 4-nitrophenyl octyl ester"	20.7396	1981.7	4.3	"4.6%"	"149 m/z"	"3.0%"	"0.00661%"	3090	1.2	24	7521		0					0				73		75						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	1189997	">Heptane, 2,5,5-trimethyl-"	21.2322	2060.2	5.6	"4.6%"	"57 m/z"	"3.6%"	"0.0121%"	3176	1.5	34	6279		0					0				83		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	1560845	">Eicosane, 2-methyl-"	21.2351	2060.7	">8"	"9.8%"	"TIC"	"2.7%"	"0.00914%"	3177	0.7	50	8351		0					0				66		74						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	1072055	">Heptane, 2,6-dimethyl-"	22.0541	2196.5	3.8	"2.1%"	"57 m/z"	"3.9%"	"0.00662%"	3320	0.8	30	5798		0					0				79		79						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	74645980	">Dodecane, 2,7,10-trimethyl-"	22.6359	2293	4.3	"10%"	"57 m/z"	"0.86%"	"0.0551%"	3422	1.1	78	26716		0					0				87		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	629925	">Nonadecane"	22.6365	2293.1	5.1	"12%"	"TIC"	"0.77%"	"0.0159%"	3422	0.9	86	29869		0					0				88		89						
