Species,Population,Plant,Bracts,Inflor,Mphase,Fphase,Closed,Buds,Temp,StartSunset,benzonitrile,benzaldehyde,anisole,"1,3-diphenylpropan-2-one",N-phenylformamide,octan-3-one,methyl hexanoate,"but-2-ene-1,4-diol",octan-2-one,hexan-1-ol,4-oxoisophorone,2-methylbutanoic acid,indole,cyclopentanone,2-phenylacetaldehyde,β-mercene,ethyl hexanoate,methyl furan-3-carboxylate,methyl 2-aminobenzoate,methyl (Z)-hex-3-enoate,2-phenylacetonitrile,"4-hydroxy-2,6,6-trimethyl-3-oxocyclohexene-1-carbaldehyde",rosefuran,(Z)-pent-2-en-1-ol,pent-1-en-3-one,"3,7-dimethylundecane","5,7-dimethylundecane",hept-2-enal,"2,3,5,8-tetramethyldecane","(3E)-4,8-dimethylnona-1,3,7-triene","2,2,6-trimethylcyclohexane-1,4-dione",4-methyloctane,methyl (E)-hex-2-enoate,propylcyclopropane,tridec-1-ene,"3,5,5-trimethylhex-2-ene",unknown benzenoid,"3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one",hept-1-en-3-one,"cyclopentane-1,2-dione",[(Z)-hex-3-enyl] hexanoate,[(Z)-hex-3-enyl] formate,oct-1-en-3-ol,linalool oxide (pyranoid) ketone,[(Z)-hex-3-enyl] acetate,(E)-β-ocimene,linalool oxide (pyranoid),"(3E,5E)-octa-1,3,5-triene","3,5,5-trimethylhex-1-ene",furan-3-ylmethanol,(E)-hex-3-enal,valencene,"1,3-dihydro-2-benzofuran",[(E)-hex-3-enyl] butanoate,perillene,"2,6,6-trimethyloctane",(E)-hept-2-ene,"3H-pyran-2,6-dione",linalool oxide (furanoid),6-methylheptan-3-one,pentyl propanoate,4-methylpentan-1-ol,hexanal,(E)-hex-2-enal,"4-methyl-1,3-thiazole",hex-4-enyl acetate,hept-3-ene,linalool,2-methylnonane,dec-1-ene,(Z)-hex-3-en-1-ol,"heptane-2,3-dione",methyl prop-2-enoate,α-phellandrene,p-cymene,epoxy-linalooloxide
Schiedea hookeri,879WKG,30,16,3,2,12,52,5,22,0.79,0,2.35,0,0,0,14.92,0.45,0,0,0,0,0,0.65,0,0.25,0,0,0.61,1.02,0,0,0,0,0,0,0.83,2.82,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,53.2,0,0,0,0,0,0,0,14.92,0,0,0,0,0,2.22,0,0,0,0,0,39.9,9.24,0,0,5.06,0,0,0,25.5,0,0,0,0,0
Schiedea hookeri,879WKG,31,10,1,1,12,30,10,21,2.74,0,9.69,0,0,1.38,4.59,0,0,0,0,0,0,3.1,0,0,0,0,0.35,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,1.05,0,0,4.04,0,0,33.44,2.22,0,0,0.22,0,0,5.67,0,0,22.01,0,0,0,0,0,0,0,0,0,9.39,4.18,0,0,0,0,0,0,26.06,1.82,0,0,0,0
Schiedea hookeri,879WKG,32,8,1,4,10,23,4,21,2.69,0,6.18,0,0,0,4.43,0,0.93,0,0,0,0,0,0,0.15,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,16.28,0.5,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0,6.96,2.04,0,0,0,0,0,0,17.66,3.99,0,0.21,0,0
Schiedea hookeri,Interpop,16,12,5,8,28,15,11,31,-4.49,0,1.95,0.82,0,0,6.81,0,0,1.19,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,32.42,0,0,0,0,0,0,0,16.08,0,0,0,0,2.3,0,0,0,0,0.55,0,54.83,6.2,0,0,0,0,0,0,4.83,0,0,0.41,0.95,0
Schiedea hookeri,Interpop,16,12,5,8,28,15,11,22,1.98,0,3.38,0.71,0,0,2.07,0,0.37,0,0,0,2.13,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,9.05,0,0.75,0,0
Schiedea hookeri,Interpop,19,0,1,6,21,89,12,21,1.67,0,5.6,0,0,0,33.38,0,0,0,0,0,0,4.54,0,0.12,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.77,0,0,0,18.75,0,0,5.16,0,0,0,7.18,0,216.4,1.54,0,0,0,2.85,29.38,0,21.37,0,0,13.86,0,0,0,0,0,0,0,0,22.09,13.24,0,40.23,0,0.2,0,0,684.41,2.04,0,0,0.22,0
Schiedea hookeri,Interpop,20,0,4,3,32,76,30,22,2.73,0,2.8,1,0,0,37.14,0,0,0,0,0,0,12.31,0,0,0,0,0,0.29,0,0,0,1.61,0,0,0,0,0,0,2.23,0,0,0.64,1.1,2.39,15.98,17.89,0,0,0,0,0,173.47,4.28,0,0,0,1.98,0,0,7.88,0,0.49,0,2.43,0,0,0,0,0,0,0,35.59,2.6,0,1.03,0,0,0,0,99.09,16.54,0,0,0,0
Schiedea hookeri,Interpop,20,24,3,4,23,19,13,23,1.06,0,11.25,0.4,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,4.97,13.91,0,0,0,1.77,0,53.75,1.77,0,0,0,0,0,0,7.92,0,0,4.16,0,0,0,0,0,0,0,0,22.04,6.11,0,5.4,0,0.6,0,0,77.83,6.61,0,0,2.6,0
Schiedea hookeri,Interpop,21,6,3,3,27,10,11,23,1.45,0,16.21,0.1,0,0.9,14.69,0.43,0,0,0,0.13,0,1.14,0,0.23,0,0,0.36,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,6.86,0,6.44,26.04,0,0,0,0,0,81.65,1.48,0,0,2.61,0,0,0,20.72,0,0,0,0,0,0,0,0.83,0,0,1.47,27.63,24.6,0,0,0,0,0,0,128.66,14.18,0,0.33,0,0
Schiedea hookeri,Interpop,23,10,5,2,25,22,48,22,2.66,0,6.45,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0.55,0,0.44,1,0,0,0,0.92,0,0,0,0.84,0,0,1.37,0,0,0,0,0,3.37,12.16,0,0,0,0,0,60.2,8.45,0,0,0,0,0,0,13.19,0,0,0,1.05,0,0,0,2.81,0,0,2.46,20.89,8.99,0,0,4.19,0.73,3.21,0,58.64,6.4,0,0.17,1.07,0
